2026-03-13 17:36:52 | INFO     | backend.routers.gateway | Gateway started successfully
2026-03-13 17:36:52 | INFO     | src.ble_receiver | UDP forward starting: 127.0.0.1:5005
2026-03-13 17:36:52 | INFO     | src.ble_receiver | BLE simulation starting
2026-03-13 17:36:52 | INFO     | src.can_translator | UDP receiver listening on 127.0.0.1:5005
2026-03-13 17:36:52 | INFO     | src.can_translator | CAN process loop started
2026-03-13 17:36:52 | INFO     | core.metrics_engine | Metrics collection started (interval=5.0s)
2026-03-13 17:36:52 | INFO     | src.can_translator | UDP receiver loop ended
2026-03-13 17:36:52 | INFO     | src.ble_receiver | UDP forward loop ended (sent=0, dropped=0)
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/start "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | backend.routers.gateway | Stopping gateway...
2026-03-13 17:36:52 | INFO     | src.gateway | Stopping gateway...
2026-03-13 17:36:52 | INFO     | src.ble_receiver | Stopping BLEReceiver
2026-03-13 17:36:52 | INFO     | src.ble_receiver | BLEReceiver stopped (packets=0)
2026-03-13 17:36:52 | INFO     | src.can_translator | Stopping CANTranslator
2026-03-13 17:36:52 | INFO     | src.can_translator | CANTranslator stopped (packets=0, errors=0)
2026-03-13 17:36:52 | INFO     | core.metrics_engine | MetricsEngine stopped
2026-03-13 17:36:52 | INFO     | src.gateway | Gateway stopped
2026-03-13 17:36:52 | INFO     | backend.routers.gateway | Gateway stopped successfully
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/stop "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/health "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | WARNING  | backend.routers.gateway | Activating attack mode: dos
2026-03-13 17:36:52 | WARNING  | src.gateway | Attack mode activated: dos
2026-03-13 17:36:52 | WARNING  | src.attack_engine | Starting DoS attack: 3.0s @ 80 Hz
2026-03-13 17:36:52 | INFO     | src.attack_engine | DoS attack cancelled after 3 events
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/dos "HTTP/1.1 200 OK"
